child_id,age_months,condition,vocab_score
C01,27,bilingual,53
C02,29,monolingual,58
C03,39,bilingual,65
C04,30,bilingual,45
C05,31,bilingual,62
C06,40,monolingual,65
C07,33,monolingual,77
C08,22,bilingual,50
C09,26,bilingual,42
C10,27,bilingual,37
C11,37,monolingual,60
C12,32,bilingual,55
C13,32,monolingual,56
C14,31,monolingual,54
C15,27,monolingual,43
C16,41,monolingual,71
C17,33,monolingual,53
C18,18,monolingual,24
C19,34,monolingual,58
C20,27,bilingual,53
C21,24,monolingual,41
C22,29,monolingual,58
C23,24,monolingual,33
C24,26,bilingual,44
C25,26,monolingual,53
C26,20,monolingual,42
C27,35,monolingual,63
C28,31,bilingual,46
C29,23,monolingual,38
C30,38,monolingual,59
C31,33,bilingual,55
C32,28,monolingual,44
C33,35,bilingual,54
C34,35,monolingual,60
C35,35,bilingual,72
C36,34,bilingual,51
C37,33,bilingual,56
C38,30,bilingual,51
C39,28,bilingual,39
C40,28,bilingual,46
C41,26,bilingual,56
C42,29,monolingual,57
C43,22,monolingual,43
C44,43,monolingual,71
C45,37,bilingual,44
C46,23,monolingual,54
C47,28,bilingual,35
C48,27,bilingual,51
C49,35,monolingual,78
C50,29,bilingual,37
C51,32,monolingual,64
C52,30,monolingual,53
C53,30,monolingual,42
C54,38,monolingual,55
C55,29,bilingual,36
C56,39,bilingual,59
C57,21,bilingual,25
C58,34,monolingual,67
C59,31,monolingual,73
C60,31,monolingual,46
